# FONLL heavy quark hadroproduction cross section, calculated on Sat Jun 15 01:05:37 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 30
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.5000 2.9708e+04 1.3371e+04 4.5342e+04 1.4894e+04 4.3222e+04 2.4627e+04 3.6053e+04 2.5056e+04 3.4348e+04
   1.0000 9.7498e+04 4.5425e+04 1.4748e+05 5.0274e+04 1.4082e+05 8.1362e+04 1.1751e+05 8.2627e+04 1.1237e+05
   1.5000 1.6333e+05 7.9756e+04 2.4435e+05 8.7499e+04 2.3397e+05 1.3758e+05 1.9500e+05 1.3943e+05 1.8722e+05
   2.0000 2.0277e+05 1.0424e+05 3.0050e+05 1.1331e+05 2.8896e+05 1.7261e+05 2.3931e+05 1.7458e+05 2.3084e+05
   2.5000 2.1298e+05 1.1534e+05 3.1362e+05 1.2412e+05 3.0299e+05 1.8351e+05 2.4836e+05 1.8525e+05 2.4082e+05
   3.0000 2.0254e+05 1.1511e+05 2.9675e+05 1.2284e+05 2.8803e+05 1.7644e+05 2.3339e+05 1.7783e+05 2.2736e+05
   3.5000 1.8108e+05 1.0740e+05 2.6395e+05 1.1380e+05 2.5729e+05 1.5938e+05 2.0625e+05 1.6031e+05 2.0172e+05
   4.0000 1.5567e+05 9.6046e+04 2.2594e+05 1.0111e+05 2.2098e+05 1.3839e+05 1.7551e+05 1.3897e+05 1.7238e+05
   4.5000 1.3073e+05 8.3540e+04 1.8892e+05 8.7476e+04 1.8525e+05 1.1728e+05 1.4616e+05 1.1751e+05 1.4396e+05
   5.0000 1.0839e+05 7.1386e+04 1.5569e+05 7.4437e+04 1.5300e+05 9.7974e+04 1.2018e+05 9.7997e+04 1.1878e+05
   5.5000 8.9250e+04 6.0368e+04 1.2737e+05 6.2721e+04 1.2540e+05 8.1235e+04 9.8206e+04 8.1119e+04 9.7382e+04
   6.0000 7.3312e+04 5.0776e+04 1.0399e+05 5.2594e+04 1.0252e+05 6.7141e+04 8.0168e+04 6.6944e+04 7.9692e+04
   6.5000 6.0262e+04 4.2604e+04 8.4882e+04 4.4022e+04 8.3787e+04 5.5483e+04 6.5517e+04 5.5239e+04 6.5273e+04
   7.0000 4.9636e+04 3.5743e+04 6.9449e+04 3.6853e+04 6.8614e+04 4.5924e+04 5.3708e+04 4.5658e+04 5.3615e+04
   7.5000 4.1029e+04 3.0037e+04 5.7010e+04 3.0914e+04 5.6364e+04 3.8118e+04 4.4208e+04 3.7862e+04 4.4208e+04
   8.0000 3.4058e+04 2.5295e+04 4.6995e+04 2.5996e+04 4.6493e+04 3.1761e+04 3.6552e+04 3.1506e+04 3.6610e+04
   8.5000 2.8397e+04 2.1328e+04 3.8914e+04 2.1889e+04 3.8524e+04 2.6564e+04 3.0357e+04 2.6332e+04 3.0450e+04
   9.0000 2.3780e+04 1.7976e+04 3.2375e+04 1.8421e+04 3.2062e+04 2.2318e+04 2.5346e+04 2.2098e+04 2.5462e+04
   9.5000 1.9998e+04 1.5215e+04 2.7060e+04 1.5567e+04 2.6808e+04 1.8827e+04 2.1263e+04 1.8630e+04 2.1379e+04
  10.0000 1.6913e+04 1.2920e+04 2.2718e+04 1.3212e+04 2.2516e+04 1.5950e+04 1.7922e+04 1.5764e+04 1.8050e+04
  10.5000 1.4349e+04 1.1029e+04 1.9179e+04 1.1261e+04 1.9012e+04 1.3572e+04 1.5173e+04 1.3410e+04 1.5300e+04
  11.0000 1.2238e+04 9.4487e+03 1.6249e+04 9.6408e+03 1.6112e+04 1.1600e+04 1.2911e+04 1.1446e+04 1.3027e+04
  11.5000 1.0477e+04 8.1282e+03 1.3836e+04 8.2870e+03 1.3723e+04 9.9516e+03 1.1029e+04 9.8101e+03 1.1143e+04
  12.0000 9.0051e+03 7.0186e+03 1.1822e+04 7.1502e+03 1.1728e+04 8.5701e+03 9.4610e+03 8.4425e+03 9.5688e+03
  12.5000 7.7708e+03 6.0828e+03 1.0148e+04 6.1932e+03 1.0069e+04 7.4089e+03 8.1490e+03 7.2918e+03 8.2488e+03
  13.0000 6.7292e+03 5.2910e+03 8.7431e+03 5.3836e+03 8.6756e+03 6.4276e+03 7.0447e+03 6.3208e+03 7.1386e+03
  13.5000 5.8487e+03 4.6157e+03 7.5611e+03 4.6945e+03 7.5040e+03 5.5947e+03 6.1120e+03 5.4972e+03 6.1990e+03
  14.0000 5.0994e+03 4.0406e+03 6.5612e+03 4.1076e+03 6.5122e+03 4.8859e+03 5.3209e+03 4.7966e+03 5.4021e+03
  14.5000 4.4614e+03 3.5479e+03 5.7133e+03 3.6053e+03 5.6712e+03 4.2804e+03 4.6481e+03 4.1992e+03 4.7235e+03
  15.0000 3.9150e+03 3.1245e+03 4.9906e+03 3.1738e+03 4.9544e+03 3.7607e+03 4.0728e+03 3.6876e+03 4.1424e+03
