# FONLL heavy quark hadroproduction cross section, calculated on Sat Jun 15 01:20:41 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 30
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.5000 5.2528e+03 2.2930e+03 8.0986e+03 2.5678e+03 7.7149e+03 4.3318e+03 6.4102e+03 4.4147e+03 6.0878e+03
   1.0000 1.7935e+04 8.1085e+03 2.7312e+04 9.0258e+03 2.6030e+04 1.4880e+04 2.1748e+04 1.5132e+04 2.0738e+04
   1.5000 3.1867e+04 1.5086e+04 4.7822e+04 1.6661e+04 4.5682e+04 2.6663e+04 3.8252e+04 2.7041e+04 3.6656e+04
   2.0000 4.2274e+04 2.1084e+04 6.2792e+04 2.3046e+04 6.0172e+04 3.5766e+04 5.0256e+04 3.6195e+04 4.8352e+04
   2.5000 4.7616e+04 2.4952e+04 7.0239e+04 2.7025e+04 6.7632e+04 4.0708e+04 5.5935e+04 4.1138e+04 5.4093e+04
   3.0000 4.8322e+04 2.6549e+04 7.0975e+04 2.8502e+04 6.8676e+04 4.1752e+04 5.6120e+04 4.2151e+04 5.4492e+04
   3.5000 4.5774e+04 2.6273e+04 6.7032e+04 2.7986e+04 6.5145e+04 3.9971e+04 5.2589e+04 4.0278e+04 5.1269e+04
   4.0000 4.1414e+04 2.4748e+04 6.0423e+04 2.6178e+04 5.8944e+04 3.6533e+04 4.7094e+04 3.6748e+04 4.6081e+04
   4.5000 3.6349e+04 2.2516e+04 5.2826e+04 2.3682e+04 5.1699e+04 3.2358e+04 4.0923e+04 3.2481e+04 4.0217e+04
   5.0000 3.1283e+04 2.0005e+04 4.5239e+04 2.0947e+04 4.4392e+04 2.8066e+04 3.4906e+04 2.8121e+04 3.4415e+04
   5.5000 2.6583e+04 1.7507e+04 3.8256e+04 1.8251e+04 3.7608e+04 2.4035e+04 2.9454e+04 2.4041e+04 2.9128e+04
   6.0000 2.2442e+04 1.5158e+04 3.2114e+04 1.5749e+04 3.1621e+04 2.0422e+04 2.4698e+04 2.0397e+04 2.4492e+04
   6.5000 1.8887e+04 1.3040e+04 2.6858e+04 1.3511e+04 2.6482e+04 1.7284e+04 2.0658e+04 1.7238e+04 2.0535e+04
   7.0000 1.5878e+04 1.1180e+04 2.2438e+04 1.1556e+04 2.2147e+04 1.4607e+04 1.7278e+04 1.4546e+04 1.7210e+04
   7.5000 1.3361e+04 9.5708e+03 1.8761e+04 9.8731e+03 1.8534e+04 1.2344e+04 1.4472e+04 1.2280e+04 1.4441e+04
   8.0000 1.1267e+04 8.1948e+03 1.5715e+04 8.4394e+03 1.5537e+04 1.0450e+04 1.2151e+04 1.0386e+04 1.2145e+04
   8.5000 9.5231e+03 7.0252e+03 1.3199e+04 7.2237e+03 1.3057e+04 8.8662e+03 1.0235e+04 8.8017e+03 1.0245e+04
   9.0000 8.0741e+03 6.0337e+03 1.1120e+04 6.1953e+03 1.1006e+04 7.5430e+03 8.6482e+03 7.4816e+03 8.6697e+03
   9.5000 6.8707e+03 5.1708e+03 9.4036e+03 5.3019e+03 9.3113e+03 6.4378e+03 7.3373e+03 6.3795e+03 7.3619e+03
  10.0000 5.8668e+03 4.4389e+03 7.9773e+03 4.5467e+03 7.9022e+03 5.5106e+03 6.2474e+03 5.4554e+03 6.2751e+03
  10.5000 5.0256e+03 3.8234e+03 6.7947e+03 3.9112e+03 6.7325e+03 4.7339e+03 5.3387e+03 4.6818e+03 5.3694e+03
  11.0000 4.3226e+03 3.3046e+03 5.8070e+03 3.3770e+03 5.7562e+03 4.0800e+03 4.5774e+03 4.0340e+03 4.6111e+03
  11.5000 3.7301e+03 2.8638e+03 4.9818e+03 2.9245e+03 4.9396e+03 3.5274e+03 3.9419e+03 3.4844e+03 3.9726e+03
  12.0000 3.2296e+03 2.4908e+03 4.2900e+03 2.5417e+03 4.2550e+03 3.0602e+03 3.4046e+03 3.0203e+03 3.4353e+03
  12.5000 2.8041e+03 2.1737e+03 3.7050e+03 2.2159e+03 3.6748e+03 2.6632e+03 2.9521e+03 2.6264e+03 2.9819e+03
  13.0000 2.4434e+03 1.9021e+03 3.2122e+03 1.9378e+03 3.1867e+03 2.3249e+03 2.5674e+03 2.2908e+03 2.5960e+03
  13.5000 2.1355e+03 1.6696e+03 2.7935e+03 1.6999e+03 2.7716e+03 2.0354e+03 2.2402e+03 2.0041e+03 2.2672e+03
  14.0000 1.8724e+03 1.4695e+03 2.4366e+03 1.4954e+03 2.4179e+03 1.7873e+03 1.9608e+03 1.7585e+03 1.9860e+03
  14.5000 1.6461e+03 1.2970e+03 2.1322e+03 1.3192e+03 2.1162e+03 1.5737e+03 1.7210e+03 1.5473e+03 1.7450e+03
  15.0000 1.4512e+03 1.1478e+03 1.8710e+03 1.1669e+03 1.8570e+03 1.3895e+03 1.5150e+03 1.3649e+03 1.5375e+03
  15.5000 1.2830e+03 1.0180e+03 1.6465e+03 1.0346e+03 1.6345e+03 1.2302e+03 1.3373e+03 1.2074e+03 1.3582e+03
  16.0000 1.1368e+03 9.0545e+02 1.4532e+03 9.1977e+02 1.4426e+03 1.0914e+03 1.1835e+03 1.0708e+03 1.2031e+03
  16.5000 1.0100e+03 8.0717e+02 1.2855e+03 8.1969e+02 1.2762e+03 9.7104e+02 1.0502e+03 9.5170e+02 1.0684e+03
  17.0000 8.9951e+02 7.2091e+02 1.1403e+03 7.3189e+02 1.1322e+03 8.6574e+02 9.3389e+02 8.4793e+02 9.5078e+02
  17.5000 8.0280e+02 6.4549e+02 1.0138e+03 6.5514e+02 1.0066e+03 7.7364e+02 8.3258e+02 7.5706e+02 8.4855e+02
  18.0000 7.1807e+02 5.7909e+02 9.0343e+02 5.8760e+02 8.9705e+02 6.9259e+02 7.4417e+02 6.7755e+02 7.5860e+02
  18.5000 6.4378e+02 5.2051e+02 8.0686e+02 5.2804e+02 8.0127e+02 6.2167e+02 6.6619e+02 6.0755e+02 6.7970e+02
  19.0000 5.7839e+02 4.6889e+02 7.2209e+02 4.7554e+02 7.1715e+02 5.5905e+02 5.9773e+02 5.4615e+02 6.1032e+02
  19.5000 5.2037e+02 4.2325e+02 6.4797e+02 4.2919e+02 6.4347e+02 5.0348e+02 5.3756e+02 4.9151e+02 5.4922e+02
  20.0000 4.6940e+02 3.8236e+02 5.8236e+02 3.8774e+02 5.7839e+02 4.5436e+02 4.8414e+02 4.4331e+02 4.9519e+02
  20.5000 4.2397e+02 3.4648e+02 5.2432e+02 3.5121e+02 5.2067e+02 4.1107e+02 4.3717e+02 4.0063e+02 4.4730e+02
  21.0000 3.8375e+02 3.1412e+02 4.7323e+02 3.1836e+02 4.7002e+02 3.7208e+02 3.9511e+02 3.6287e+02 4.0463e+02
  21.5000 3.4783e+02 2.8550e+02 4.2748e+02 2.8935e+02 4.2458e+02 3.3770e+02 3.5796e+02 3.2880e+02 3.6656e+02
  22.0000 3.1590e+02 2.5987e+02 3.8727e+02 2.6331e+02 3.8467e+02 3.0691e+02 3.2481e+02 2.9877e+02 3.3279e+02
  22.5000 2.8726e+02 2.3686e+02 3.5118e+02 2.3995e+02 3.4875e+02 2.7937e+02 2.9524e+02 2.7179e+02 3.0276e+02
  23.0000 2.6169e+02 2.1622e+02 3.1902e+02 2.1901e+02 3.1682e+02 2.5466e+02 2.6875e+02 2.4766e+02 2.7575e+02
  23.5000 2.3875e+02 1.9766e+02 2.9039e+02 2.0019e+02 2.8840e+02 2.3249e+02 2.4502e+02 2.2598e+02 2.5153e+02
  24.0000 2.1815e+02 1.8093e+02 2.6464e+02 1.8325e+02 2.6282e+02 2.1257e+02 2.2371e+02 2.0649e+02 2.2976e+02
  24.5000 1.9958e+02 1.6586e+02 2.4156e+02 1.6796e+02 2.3989e+02 1.9461e+02 2.0455e+02 1.8899e+02 2.1020e+02
  25.0000 1.8285e+02 1.5223e+02 2.2082e+02 1.5415e+02 2.1929e+02 1.7840e+02 1.8730e+02 1.7318e+02 1.9255e+02
  25.5000 1.6778e+02 1.3990e+02 2.0212e+02 1.4165e+02 2.0072e+02 1.6378e+02 1.7174e+02 1.5890e+02 1.7665e+02
  26.0000 1.5411e+02 1.2874e+02 1.8525e+02 1.3035e+02 1.8395e+02 1.5052e+02 1.5768e+02 1.4598e+02 1.6225e+02
  26.5000 1.4174e+02 1.1859e+02 1.7004e+02 1.2007e+02 1.6885e+02 1.3852e+02 1.4494e+02 1.3428e+02 1.4920e+02
  27.0000 1.3054e+02 1.0939e+02 1.5625e+02 1.1073e+02 1.5516e+02 1.2765e+02 1.3342e+02 1.2369e+02 1.3738e+02
  27.5000 1.2034e+02 1.0102e+02 1.4378e+02 1.0226e+02 1.4275e+02 1.1773e+02 1.2295e+02 1.1405e+02 1.2667e+02
  28.0000 1.1110e+02 9.3371e+01 1.3246e+02 9.4525e+01 1.3152e+02 1.0874e+02 1.1344e+02 1.0527e+02 1.1691e+02
  28.5000 1.0266e+02 8.6400e+01 1.2216e+02 8.7464e+01 1.2130e+02 1.0051e+02 1.0475e+02 9.7288e+01 1.0800e+02
  29.0000 9.4955e+01 8.0041e+01 1.1280e+02 8.1017e+01 1.1199e+02 9.3021e+01 9.6859e+01 9.0012e+01 9.9898e+01
  29.5000 8.7956e+01 7.4245e+01 1.0426e+02 7.5154e+01 1.0352e+02 8.6175e+01 8.9675e+01 8.3381e+01 9.2499e+01
  30.0000 8.1508e+01 6.8923e+01 9.6511e+01 6.9750e+01 9.5815e+01 7.9943e+01 8.3074e+01 7.7303e+01 8.5745e+01
